AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Actual Completion Code,,,
AJOHW4ZVBL6MD,3MHW492WW0EKTEH0ECU422NZN9HMVX,1409,9/14/2017 2:42:50 PM,9/14/2017 3:06:19 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3N7R7P9HP2YB6,3LS2AMNW5FRGO96V5TF7OJDW1HHQOM,1526,9/14/2017 2:42:08 PM,9/14/2017 3:07:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A9NB559YR79NC,3WSELTNVR334EL4MCE4KST4EW7DATM,297,9/14/2017 2:49:39 PM,9/14/2017 2:54:36 PM,Approved,0.35,0.00,JDA335XQQ,,,
A26I57LNED30Z2,3H8DHMCCW9C399HB2FHUH3POYXJDKL,225,9/14/2017 2:50:43 PM,9/14/2017 2:54:29 PM,Approved,0.35,0.00,JDA335XQQ,,,
A28WSBB0DSV47X,3V5Q80FXIXSAA1BOKK5E4YHIQK523N,102,9/14/2017 2:19:31 PM,9/14/2017 2:21:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1N8IT6PFVE7SU,3KGTPGBS6XMU9VO7Z41FR77I3XQU2O,150,9/14/2017 2:33:29 PM,9/14/2017 2:35:59 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1OZ3PPHAEWA8S,3KB8R4ZV1E85SQN8YS59OL9VOVOGBC,239,9/14/2017 2:33:23 PM,9/14/2017 2:37:22 PM,Approved,0.35,0.00,JDA335XQQ,,,
AAR5VQ8QIO5PC,3SNLUL3WO4O0AHAF9AJK636R9XGLU3,187,9/14/2017 2:25:32 PM,9/14/2017 2:28:40 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2MF4QDKE40KVN,3PH3VY7DJLYX7AGOJBPUW62M9MZWZW,130,9/14/2017 2:29:13 PM,9/14/2017 2:31:24 PM,Approved,0.35,0.00,JDA335XQQ,,,
A7ULVYZ4JGW8L,30IQTZXKAK7FUPFOPM8OSQD70HLX0X,116,9/14/2017 2:20:27 PM,9/14/2017 2:22:24 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1TGT6FVIZRNS5,3SB5N7Y3O35483KY0C8K44DCXRR0GA,359,9/14/2017 2:30:26 PM,9/14/2017 2:36:26 PM,Approved,0.35,0.00,JDA335XQQ,,,
A29SETAL44W6LV,3S4AW7T80BJ1TJG0U4S2TZ8XALX4L6,105,9/14/2017 3:08:29 PM,9/14/2017 3:10:14 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2TQNX64349OZ9,3V5Q80FXIXSAA1BOKK5E4YHIQK732Q,438,9/14/2017 2:38:55 PM,9/14/2017 2:46:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2QMHQXR8K4VJ2,3RKNTXVS3MZKX0PWXD3CKLSMG8T4AH,606,9/14/2017 2:19:32 PM,9/14/2017 2:29:39 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3N1W4VYI7VXEV,3DIP6YHAPCTO6ETAPLVBXGYI39NE8T,1576,9/14/2017 2:25:14 PM,9/14/2017 2:51:30 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1I4VM94N3EM0W,3JBT3HLQF837N1JN7PBZ4CUQGPXPZV,221,9/14/2017 2:36:28 PM,9/14/2017 2:40:09 PM,Approved,0.35,0.00,JDA335XQQ,,,
ASIULWA5R4JYU,3K3R2QNK8B459F96KDGU1UFW93YU9E,401,9/14/2017 2:20:30 PM,9/14/2017 2:27:12 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1M5BJTQIXCM33,3PEIJLRY6TU82FG9IT19ZLMB1M0XWZ,138,9/14/2017 2:21:30 PM,9/14/2017 2:23:49 PM,Approved,0.35,0.00,JDA335XQQ,,,
A23VLS7JAU9343,3R3YRB5GRF4JEYJBCJUUXPQGFLGUAT,989,9/14/2017 2:19:51 PM,9/14/2017 2:36:21 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3J9ORWWVZCEOI,3YW4XOSQKQMNKA6BG011MOXDBRD1UF,59,9/14/2017 2:36:38 PM,9/14/2017 2:37:38 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1R93MQYAFEVX1,3NAPMVF0ZWGSBKCBMW84HFTYVMU27V,841,9/14/2017 2:44:09 PM,9/14/2017 2:58:10 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2KWPS7YQS4HPT,3IJXV6UZ1XK64OASKDR29CRFLUIIRI,99,9/14/2017 2:25:14 PM,9/14/2017 2:26:53 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3IJNWM14T6CN7,3JRJSWSMQHM25HN4D40F6ZQ7NNY3ET,131,9/14/2017 2:47:59 PM,9/14/2017 2:50:11 PM,Approved,0.35,0.00, JDA335XQQ,,,
AHIPB9HCQMI07,3Q8GYXHFEP3QMYQUVWIDV8OOG795CP,213,9/14/2017 2:21:40 PM,9/14/2017 2:25:14 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1KFUXSVGSHL5Z,32EYX73OY0ABDF5SEUGGSFFQFQARU6,175,9/14/2017 3:18:27 PM,9/14/2017 3:21:22 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1NHQ59G0I4LQT,358UUM7WRZ49F4TW1MN5IN167E8R7X,124,9/14/2017 2:33:51 PM,9/14/2017 2:35:55 PM,Approved,0.35,0.00,JDA335XQQ,,,
AB6KS47LZ31VZ,3TUI152ZZBOVSHZUZRHWCN0O8681QB,166,9/14/2017 2:42:48 PM,9/14/2017 2:45:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2ADP8OZY39H5A,3W92K5RLWUIML7WUMDDIL0CD1EOV5D,156,9/14/2017 2:21:26 PM,9/14/2017 2:24:03 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1QX6AXRT6T94R,3HOSI13XHZPVV3B1AYV7DQUYEOJDD5,180,9/14/2017 2:22:42 PM,9/14/2017 2:25:42 PM,Approved,0.35,0.00,JDA335XQQ,,,
A392X2J1RM2X8E,3GM6G9ZBKNY5GMDB9HUP1KZEQO0MTG,113,9/14/2017 2:34:32 PM,9/14/2017 2:36:25 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3QN9B9ZS1CWWM,3ZWFC4W1UU8MUX82J5LH6FEN52QFRO,206,9/14/2017 2:21:01 PM,9/14/2017 2:24:27 PM,Approved,0.35,0.00,JDA335XQQ,,,
A47N8CFWDAXNH,3L6L49WXW0YNRUDF2HCVCAC0OUT45C,218,9/14/2017 2:27:31 PM,9/14/2017 2:31:09 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1P14RA5FX3HPD,34HJIJKLP5X4POSU88U8G86Z1IV4VJ,191,9/14/2017 2:34:02 PM,9/14/2017 2:37:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1VBINGZKSCKL0,3JMSRU9HQIVMHQPNXE6LPUIQE7OEVY,166,9/14/2017 2:27:03 PM,9/14/2017 2:29:50 PM,Approved,0.35,0.00,JDA335XQQ,,,
A21KU81RRUYR6G,39O5D9O87TTN8J3QHDUKGBQ42BI3CX,117,9/14/2017 2:23:01 PM,9/14/2017 2:24:58 PM,Approved,0.35,0.00,JDA335XQQ,,,
A208WEZYBBV5JQ,30OG32W0SUC99LGEVNKUFDODS4QNEU,93,9/14/2017 3:08:00 PM,9/14/2017 3:09:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A13LAT8QCT8TVJ,3PZDLQMM0TMYN177DDGFX1LCWXMC2Z,223,9/14/2017 3:04:51 PM,9/14/2017 3:08:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1OEIXTKVEO6EU,32Z9ZLUT1LL3BG7SM3SDF5LVAUNHOJ,1881,9/14/2017 3:04:13 PM,9/14/2017 3:35:35 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2KISOEXKF5OTJ,3VBEN272MK049C4A9ER4EAJVSJ9SGO,171,9/14/2017 2:31:18 PM,9/14/2017 2:34:09 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3VOYK4UGI5BJF,3MYYFCXHJ38L7R2ZJDVMG73PE394GW,126,9/14/2017 2:43:26 PM,9/14/2017 2:45:33 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1A3B77BG6NV8Y,34BBWHLWHACBCKREJ718WBZWD9WWIY,140,9/14/2017 2:19:15 PM,9/14/2017 2:21:35 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1KRYIRDA2OOWC,37TRT2X24QSFJSD96YQCLY1BGN4BJA,193,9/14/2017 2:24:42 PM,9/14/2017 2:27:55 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2VYZ5AWTLAL0T,34J10VATJFZ6SNVS7Y224MHAP9NIQQ,146,9/14/2017 3:32:40 PM,9/14/2017 3:35:06 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3OLRWACCCCUTU,3NAPMVF0ZWGSBKCBMW84HFTYVMR27S,746,9/14/2017 2:19:55 PM,9/14/2017 2:32:21 PM,Approved,0.35,0.00,JDA335XQQ,,,
A7ARLVESOUAOL,3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE,58,9/14/2017 2:20:45 PM,9/14/2017 2:21:43 PM,Approved,0.35,0.00,JDA335XQQ,,,
A16R3CHSBZD1BU,3XLBSAQ9Z4DIHVFNB3HI4Q35GWV7ZC,224,9/14/2017 3:10:48 PM,9/14/2017 3:14:33 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2AXR1HZ89JXD5,3EKVH9QMEY58STDLD9BQH73UHXWD2Y,137,9/14/2017 2:38:29 PM,9/14/2017 2:40:46 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1TKMDI890M1DE,39KFRKBFINWPXBXHW3W115GY0R1OYS,169,9/14/2017 3:18:34 PM,9/14/2017 3:21:23 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2JMDJEEHTOSA3,386CSBG1OZNQZ30R5XTD7JR5GHLQ6V,182,9/14/2017 2:24:44 PM,9/14/2017 2:27:47 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1ZDR2UN7M92LI,3C6FJU71TQUKAGHESP8A0B8NICOUY8,134,9/14/2017 3:07:34 PM,9/14/2017 3:09:48 PM,Approved,0.35,0.00,JDA335XQQ,,,
A24Q3ZTP8ZNHP6,3IXQG4FA2TZQDG00KMZZW4N8KISB9F,156,9/14/2017 2:24:00 PM,9/14/2017 2:26:37 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1FS8SBR4SDWYG,3QBD8R3Z21K9Z4JX7W8ULGCR5PXO40,239,9/14/2017 2:26:49 PM,9/14/2017 2:30:49 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2WAQ89S9G6FXQ,37QW5D2ZRGNPGXYSQGFGMX2X40XS89,172,9/14/2017 2:37:11 PM,9/14/2017 2:40:03 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3L6TO881Q0GZS,3GNCZX450IO6MTBFVXV0NJ3H74QPAU,339,9/14/2017 2:35:22 PM,9/14/2017 2:41:02 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3630GK2PAR9R6,39PAAFCODM1O697KN9VGOGIRHHFTV7,166,9/14/2017 3:03:40 PM,9/14/2017 3:06:27 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2K2S0P331IZHL,3YMU66OBIN9FJ3QUYKF5AWCTJ8UHGU,516,9/14/2017 2:42:09 PM,9/14/2017 2:50:45 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1YH4LT7EAYT47,3TYCR1GOTCKHWG4PFXISNVL6BFVLZS,563,9/14/2017 2:26:07 PM,9/14/2017 2:35:31 PM,Approved,0.35,0.00,JDA335XQQ,,,
AI9NJ89EXVDY1,32ZKVD547FO4YEBK3DYP5RKMKQJ3BR,154,9/14/2017 2:31:12 PM,9/14/2017 2:33:47 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1JFQYGO8M6EWX,31T4R4OBOSH5924DJPXATS2K7D4C7B,159,9/14/2017 2:19:19 PM,9/14/2017 2:21:58 PM,Approved,0.35,0.00,JDA335XQQ,,,
AIEJ3ECA0KG9F,3KKG4CDWKIZ6SHFR57PCOQH2AQE495,80,9/14/2017 2:42:53 PM,9/14/2017 2:44:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A34IR43LQJEA8C,3WI0P0II61TPWDU6SZQRIFB2TPBRDQ,50,9/14/2017 2:34:44 PM,9/14/2017 2:35:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
AY4LR4O9XWY56,33L7PJKHCGZQVXB7FGK6W2YJ6JAT8Y,142,9/14/2017 2:26:43 PM,9/14/2017 2:29:05 PM,Approved,0.35,0.00,JDA335XQQ,,,
AABI42PYKNYLI,3GGAI1SQEVZOU5B0NVZZCAZA235MC4,117,9/14/2017 3:24:37 PM,9/14/2017 3:26:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3KHKFLJZN00QI,32RIADZISS5OXWBQEDP35LMS2F64SL,51,9/14/2017 3:18:40 PM,9/14/2017 3:19:31 PM,Approved,0.35,0.00,JDA335XQQ,,,
A4EHVKHMMEFEP,37Q970SNZE975XE7RV617NFPQURS1P,172,9/14/2017 2:36:05 PM,9/14/2017 2:38:58 PM,Approved,0.35,0.00,JDA335XQQ,,,
AKPXWXJFLHM08,3YWRV122CS05VAQWFLAG1YKLPXJ8U6,186,9/14/2017 2:41:13 PM,9/14/2017 2:44:20 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3K78FG696O9KL,3R5F3LQFV2LP217MSPYKFCP06L5OZJ,2394,9/14/2017 3:18:52 PM,9/14/2017 3:58:47 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2LT2201O6A4QS,3QY5DC2MXRLEAP0JNZGMBQ17C1YUFB,108,9/14/2017 3:06:08 PM,9/14/2017 3:07:56 PM,Approved,0.35,0.00,JDA335XQQ,,,
AOLQA0CBEC46G,3UWN2HHPUY6AJ4LWWI4Z4USSTVYSNZ,2432,9/14/2017 2:57:09 PM,9/14/2017 3:37:42 PM,Approved,0.35,0.00,JDA335XQQ,,,
A11A9P82LT2M0H,340UGXU9DY236MM9NELQTC4T0VJUVW,164,9/14/2017 3:01:42 PM,9/14/2017 3:04:26 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3SN5P43U6KKLT,3A4TN5196KJ22RAPWYJMK5RELG0CHD,216,9/14/2017 2:20:02 PM,9/14/2017 2:23:38 PM,Approved,0.35,0.00,JDA335XQQ,,,
AJNQ2PBD07FKE,30OG32W0SUC99LGEVNKUFDODS4MENH,127,9/14/2017 2:26:13 PM,9/14/2017 2:28:21 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3PYNS3ZLLJJRP,3RYC5T2D73UYLAXWX8HMI9SR78GRP6,201,9/14/2017 2:53:33 PM,9/14/2017 2:56:54 PM,Approved,0.35,0.00,JDA335XQQ,,,
AVI7UDWV0Y3W3,34V1S5K3GS2K74J5OVIRLO1G6HH69P,3780,9/14/2017 2:24:27 PM,9/14/2017 3:27:27 PM,Approved,0.35,0.00,JDA335XQQ,,,
A33WAGEDFMSQSY,3VAR3R6G1P2AI56ZJZY72SSW7CY8OY,545,9/14/2017 3:13:07 PM,9/14/2017 3:22:12 PM,Approved,0.35,0.00,JDA335XQQ,,,
AWCZ4NEHZ0XG9,3EG49X351UDA8013RBO51RNYDK86X8,287,9/14/2017 2:20:09 PM,9/14/2017 2:24:56 PM,Approved,0.35,0.00,JDA335XQQ,,,
A10LGIY5HFYMZM,3SB4CE2TJVWBV2D6HO5HHWPK93ZXAQ,186,9/14/2017 2:37:13 PM,9/14/2017 2:40:19 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3FPXLLF0B8CIC,3UOUJI6MTDFVABR4NTM8HX1EG6PXU0,264,9/14/2017 2:21:13 PM,9/14/2017 2:25:38 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3DRKJIAWYMA9F,3V5Q80FXIXSAA1BOKK5E4YHIQK532O,217,9/14/2017 2:22:02 PM,9/14/2017 2:25:39 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3LT7W355XOAKF,3DQQ64TANGM3T6EIW2RS5808ZNRWPA,3188,9/14/2017 2:19:37 PM,9/14/2017 3:12:46 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2NH6M60H95WIO,33M4IA01QG23UJZNJZR3CMEU97LXRW,318,9/14/2017 2:21:05 PM,9/14/2017 2:26:24 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1L3VYVRPNGGQP,3Z4XG4ZF48SXCEKRKQL3L5JPJFZ8XX,337,9/14/2017 2:33:07 PM,9/14/2017 2:38:45 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1CB2A9NEL2D7E,39OWYR0EPKSVRYKOX0DBEB7K8QAFYX,150,9/14/2017 3:12:11 PM,9/14/2017 3:14:42 PM,Approved,0.35,0.00, JDA335XQQ,,,
A1CGGZRO2JUQUG,3AWETUDC92TF6FWJUULFVFTEUB1IZB,160,9/14/2017 2:26:09 PM,9/14/2017 2:28:50 PM,Approved,0.35,0.00,JDA335XQQ,,,
A9N9Y3H7FCWEF,3WT783CTPBISBE73W69QYUOGQ40CB4,176,9/14/2017 3:16:49 PM,9/14/2017 3:19:45 PM,Approved,0.35,0.00,JDA335XQQ,,,
A18Q2TSYBDWQU1,3RSDURM96AN3LKKS2PT5WTMKWOUEYB,114,9/14/2017 3:05:35 PM,9/14/2017 3:07:30 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3UWBIOJF23CZJ,3VNXK88KKCJ5MUY6P3QZXGHFNABV98,114,9/14/2017 2:58:01 PM,9/14/2017 2:59:55 PM,Approved,0.35,0.00,JDA335XQQ,,,
AT6LDQNLKTUSE,3TK8OJTYM1MQEHED6SMWJ6HUSEPPVT,2325,9/14/2017 2:19:22 PM,9/14/2017 2:58:07 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2DP32IQRO1N6K,3DQQ64TANGM3T6EIW2RS5808ZNRPW3,281,9/14/2017 2:19:38 PM,9/14/2017 2:24:19 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1DZ1P1YBJ29PU,392CY0QWG1SZ3I8U91VP1JG5TGY4IL,2585,9/14/2017 2:20:03 PM,9/14/2017 3:03:08 PM,Approved,0.35,0.00, JDA335XQQ,,,
A2H8GNSEVUJXYL,3OSWBBLG1EY9T9GI1YWJ7XXQU6ZXDV,116,9/14/2017 3:08:42 PM,9/14/2017 3:10:39 PM,Approved,0.35,0.00,JDA335XQQ,,,
A39XD5I3E00YO3,3YHH42UU5BGKUVYZB350HWIKT9I0LN,139,9/14/2017 3:21:16 PM,9/14/2017 3:23:36 PM,Approved,0.35,0.00,JDA335XQQ,,,
AOYEKAEEXR1QY,3R9WASFE2ZHVWOUTTMFUSIGMEKEZF8,145,9/14/2017 3:18:14 PM,9/14/2017 3:20:39 PM,Approved,0.35,0.00,JDA335XQQ,,,
A240OTT1T85UGT,3U5JL4WY5KAWTDXP8NVQ4T3KHT24XL,610,9/14/2017 2:20:46 PM,9/14/2017 2:30:56 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3X6N2OAY5XY8,3HWRJOOET536PY8J3J1GE7YJF3UEST,811,9/14/2017 2:26:14 PM,9/14/2017 2:39:45 PM,Approved,0.35,0.00,JDA335XQQ,,,
ALF9AAZGQP4K5,3IQ1VMJRYTLLU6V8E8Z31T3220AA9M,912,9/14/2017 2:47:08 PM,9/14/2017 3:02:20 PM,Approved,0.35,0.00,JDA335XQQ,,,
A8HQT8FK59SVO,3IX2EGZR7BK2ZZUY2VC2LD6FY9BRJ7,229,9/14/2017 3:06:51 PM,9/14/2017 3:10:40 PM,Approved,0.35,0.00,JDA335XQQ,,,
AL7L4BS9AW3TI,39L1G8WVWQS3LGTS1G50ZF7DYET137,225,9/14/2017 2:40:17 PM,9/14/2017 2:44:03 PM,Approved,0.35,0.00,JDA335XQQ,,,
A33S9Z0SQC71A0,3VA45EW49NOS75MEKEPSNI5OT5PO1P,284,9/14/2017 2:41:19 PM,9/14/2017 2:46:03 PM,Approved,0.35,0.00,JDA335XQQ,,,
