"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","experienced","instructions_time","total_time","stamp","id"
"A2DPKKEEW2I6QK","caus_thomas_boxes_v3","392CY0QWG1SZ3I8U91VP1JG5XIL4IG","0","1","1","Yes","No","No","No","5136","33500","2017-10-06 16:28:29","1624"
"A33QX0QXEX943S","caus_thomas_boxes_v3","3DPNQGW4LLGJAYDT70M04GQ0ORR64P","0","0","1","Yes","No","Yes","No","25271","87384","2017-10-06 16:29:38","1625"
"A1KH1O9AZ7S642","caus_thomas_boxes_v3","3E4GGUZ1T8SG6ZJV5QXDLKYK58E2KT","0","1","1","No","No","No","No","29274","113793","2017-10-06 16:29:40","1626"
"A1F1OZ54G177D8","caus_thomas_boxes_v3","3JNQLM5FT4NRQ51DQQ9E0KBZU8JL2F","0","0","1","No","Yes","Yes","No","30267","110966","2017-10-06 16:29:50","1627"
"A1APVA18JOY1LT","caus_thomas_boxes_v3","3QILPRALQ5WS0K6NIKYUN3SRL3BN8M","0","1","0","No","Yes","Yes","Not sure","48607","115360","2017-10-06 16:29:59","1628"
"A34GYENUP0ZPMC","caus_thomas_boxes_v3","3MRNMEIQW57ETFZTNFTVW323RZ8LDO","0","1","0","No","Yes","Yes","No","34988","98049","2017-10-06 16:30:16","1629"
"AVZC6UMLYGFB","caus_thomas_boxes_v3","3VBEN272MK049C4A9ER4EAJVWLWSGJ","0","1","1","No","Yes","Yes","No","40602","130773","2017-10-06 16:30:29","1630"
"A1JFQYGO8M6EWX","caus_thomas_boxes_v3","3PM8NZGV8YH3IIKN6K237W4PHN7QXK","0","1","0","No","Yes","Yes","No","56074","119739","2017-10-06 16:30:33","1631"
"A3UQXYJ8EV62WE","caus_thomas_boxes_v3","3OB0CAO74HQF5UBUSQ1BHWJXS65HYL","0","1","1","No","Yes","Yes","No","52000","149922","2017-10-06 16:30:33","1632"
"A1IEFZ8RTKERMP","caus_thomas_boxes_v3","3ZAK8W07I4FNDLLTKHX18JE3A1SU0Y","0","1","1","No","Yes","Yes","Yes","32621","88125","2017-10-06 16:30:35","1633"
"A31Q7PWLBCU2X0","caus_thomas_boxes_v3","3S0TNUHWKTJJE8FATQKRRYGX7Z98DP","0","1","1","No","Yes","Yes","No","59833","96674","2017-10-06 16:30:37","1634"
"A23JA6ICO4BPQ5","caus_thomas_boxes_v3","38SKSKU7R1YV1QFFFTU6N0IGJ4HILO","0","1","1","No","Yes","Yes","Yes","22962","59851","2017-10-06 16:30:42","1635"
"A2IGPW784OFV3D","caus_thomas_boxes_v3","3EFE17QCRC6I98ZLTK9MZAVWBL9SHI","0","0","1","No","Yes","Yes","No","45398","181221","2017-10-06 16:31:04","1636"
"A2S3SV1LQTKJ8K","caus_thomas_boxes_v3","3TAYZSBPLL9EUIW3AZ6FC6PUM2RS20","0","1","0","No","Yes","Yes","No","48480","104265","2017-10-06 16:31:23","1637"
"A1BLAWP38JPWDD","caus_thomas_boxes_v3","39DD6S19JPC3QAUXYBVOA0VM6KIEZU","0","1","1","No","Yes","Yes","No","29665","89521","2017-10-06 16:31:26","1638"
"ALCTVF1E5UJSH","caus_thomas_boxes_v3","31IBVUNM9S0EN4PJSPQR7C3QUAQVFS","0","1","0","No","Yes","Yes","No","94424","193068","2017-10-06 16:31:27","1639"
"A1C7JU0JCT5SR7","caus_thomas_boxes_v3","32RIADZISS5OXWBQEDP35LMS6GO4S9","0","1","0","Yes","Yes","Yes","No","44847","113954","2017-10-06 16:31:28","1640"
"A7KLTVEIASF4J","caus_thomas_boxes_v3","3GM6G9ZBKNY5GMDB9HUP1KZEUQMTMH","1","1","0","No","No","No","No","4763","47042","2017-10-06 16:31:30","1641"
"A2Z7W25ZQ8PENR","caus_thomas_boxes_v3","3LYA37P8IQOAUCJROJQOMD1OZESKBE","1","1","1","Not sure","Not sure","Not sure","No","32703","87282","2017-10-06 16:31:42","1642"
"A7DKZVR74XXRH","caus_thomas_boxes_v3","3NAPMVF0ZWGSBKCBMW84HFTYZOF72T","0","1","0","No","Yes","Yes","No","55675","159720","2017-10-06 16:31:46","1643"
"A1S3VIOXMGN0QN","caus_thomas_boxes_v3","3CN4LGXD5XPLTINZDJHSN7ATN1J4YM","0","1","1","No","Yes","Yes","No","82793","194242","2017-10-06 16:31:48","1644"
"A2M3KQ9CKP7YW","caus_thomas_boxes_v3","38YMOXR4MU0VJ0WDH6SJZ89R8KQ6WB","0","0","1","No","Yes","Yes","No","52967","142775","2017-10-06 16:31:48","1645"
"A1BM57TUNAQIXM","caus_thomas_boxes_v3","34PGFRQONOC77VBK1PM88CEWUQAJWU","0","0","1","No","Yes","Yes","No","27163","71000","2017-10-06 16:31:50","1646"
"A1Z6F664MYBMVI","caus_thomas_boxes_v3","3X4JMASXCMA8HMCNKQG63TMFLGM0BO","0","1","0","No","Yes","Yes","No","48658","150002","2017-10-06 16:32:01","1647"
"A25NRZFFVPNH1B","caus_thomas_boxes_v3","3VNXK88KKCJ5MUY6P3QZXGHFRCW9VF","1","0","0","No","Yes","Yes","No","47082","174533","2017-10-06 16:32:03","1648"
"A38KA8KXRLEM7M","caus_thomas_boxes_v3","3TU5ZICBRD2D3HJFYCQBRXNWQEZ8QV","0","1","1","No","Yes","Yes","No","99404","234822","2017-10-06 16:32:31","1649"
"A2AK649KPZ2IZN","caus_thomas_boxes_v3","3NS0A6KXC491AOQO46LCA3GYJ0XGZD","0","1","1","No","No","Yes","No","33102","97706","2017-10-06 16:32:34","1650"
"A3TK7HVFEKB00R","caus_thomas_boxes_v3","3P4RDNWND57P60RFC8IT7L5OFFCJIN","1","1","0","Not sure","No","No","No","11796","83096","2017-10-06 16:32:35","1651"
"A1QVNF19XSRSD7","caus_thomas_boxes_v3","3MYYFCXHJ38L7R2ZJDVMG73PI5TG40","0","1","0","No","Yes","Yes","No","6285","30391","2017-10-06 16:33:08","1652"
"A3PKNPKC9QWYVV","caus_thomas_boxes_v3","34YB12FSQYP1BHR5PHVI21KP4WEMG1","0","1","0","No","Yes","Yes","No","95599","278550","2017-10-06 16:33:13","1653"
"A1Y508FNU04ZLH","caus_thomas_boxes_v3","3JWH6J9I9SEB2I4ULWI4E5IST9YBNB","0","1","0","Yes","Yes","Yes","No","50479","123093","2017-10-06 16:33:21","1654"
"A25N0K40JAZTN1","caus_thomas_boxes_v3","3MD9PLUKKIF7KG7ARAY70NPVKCJNZS","0","0","1","No","Yes","Yes","No","49390","129223","2017-10-06 16:33:22","1655"
"AXRHEJ3POWHEQ","caus_thomas_boxes_v3","3OHYZ19UGC6O1TZEGXILYJYR11GOA6","0","0","1","No","Yes","Yes","No","101176","275256","2017-10-06 16:33:32","1656"
"A1ADBGN4RBXYKB","caus_thomas_boxes_v3","39RP059MEHU5K0JU9V341QTSOJMMBK","0","0","1","No","Yes","Yes","No","46322","110743","2017-10-06 16:33:39","1657"
"A389AXSVPSU69G","caus_thomas_boxes_v3","3OUYGIZWR7ZALGDX3VY7YDR42K20PA","0","0","1","No","Yes","Yes","Yes","59137","178527","2017-10-06 16:33:51","1658"
"A189V9652OVX56","caus_thomas_boxes_v3","3X66WABAJWJ0PVJVJZQ362BJ45XG3F","1","1","1","No","No","Yes","No","91305","270119","2017-10-06 16:33:55","1659"
"A21KXWKFWGBCZ3","caus_thomas_boxes_v3","3OONKJ5DKCKTK346MBIHTUIXJJ3OB3","0","0","1","Yes","Yes","Yes","No","30694","95952","2017-10-06 16:33:58","1660"
"A3KB9R1IGO61Q9","caus_thomas_boxes_v3","3SKRO2GZ71S9HE1ZMMXZG1OFD211KC","1","1","0","No","Yes","Yes","No","81057","294308","2017-10-06 16:34:13","1661"
"A2WYEOT1O3OXPS","caus_thomas_boxes_v3","3L6L49WXW0YNRUDF2HCVCAC0SWF547","1","1","0","No","No","Not sure","No","158801","288680","2017-10-06 16:34:18","1662"
"A11R8G0FYA2UVQ","caus_thomas_boxes_v3","33NF62TLXJ3GCVH3CB35K1K17J0KJY","0","0","1","No","Yes","Yes","No","67307","146897","2017-10-06 16:34:20","1663"
"A5YVMQWA2IYPF","caus_thomas_boxes_v3","3300DTYQT2IUCIT6BFCBJ7JI1HYQED","0","1","1","No","Yes","Yes","No","65448","154665","2017-10-06 16:34:27","1664"
" A1V1K21WN49SDN","caus_thomas_boxes_v3","3AAPLD8UCCIJO8C0IKEC9FRID4PTHA","0","0","1","No","Yes","Yes","No","43216","154602","2017-10-06 16:35:57","1665"
"A3ITZNJQUTIZ4C","caus_thomas_boxes_v3","3WJ1OXY92AHLG1CY9GTP1X8RMWC8AN","0","1","0","No","Yes","Yes","No","86201","173407","2017-10-06 16:36:29","1666"
"A1XLGIFFGB01EU","caus_thomas_boxes_v3","3BXQMRHWKZZKGZS09MKZ6GLGD4WUMC","0","0","1","No","No","Yes","No","25402","106383","2017-10-06 16:36:35","1667"
"A2Z7HHTA5WOLL5","caus_thomas_boxes_v3","3WYP994K17SZ85RDW7A7K5U7JSQY62","0","0","1","No","Yes","Not sure","Yes","5690","41050","2017-10-06 16:37:02","1668"
"A3IFHO3DXO4P3","caus_thomas_boxes_v3","3S4AW7T80BJ1TJG0U4S2TZ8XEMIL4E","0","1","0","No","Yes","Yes","No","56390","168082","2017-10-06 16:37:07","1669"
"A29U4ZQRLMIB61","caus_thomas_boxes_v3","3FUI0JHJPXZZVJ77OKJJN8MA00X33Z","1","0","1","No","Yes","Yes","No","35662","107325","2017-10-06 16:38:34","1670"
"A20CZCJPRP54G9","caus_thomas_boxes_v3","3X08E93BHVJXPLH7QOFF1EAEKI066D","0","1","1","No","Yes","Yes","Yes","37463","105326","2017-10-06 16:38:46","1671"
"ARQVX5N01PRSF","caus_thomas_boxes_v3","3KIBXJ1WD5VUD680SOVASX1N6DFKOM","1","0","1","No","Yes","Yes","No","52244","131585","2017-10-06 16:38:48","1672"
"A3JIXUMSPOB36C","caus_thomas_boxes_v3","3SNVL38CI4TT4HBX2JMJXX76HZVCKG","0","0","1","No","Yes","Yes","No","84585","237244","2017-10-06 16:39:23","1673"
"A23SGBJULXN5DO","caus_thomas_boxes_v3","38SKSKU7R1YV1QFFFTU6N0IGJ4LILS","0","0","1","No","No","Not sure","No","9510","84240","2017-10-06 16:40:07","1674"
"A2EOVZR7NIRJLT","caus_thomas_boxes_v3","3A1COHJ8NJW0QOKCFM3HIJVVZR7H8C","0","1","1","No","Yes","Yes","No","52686","130749","2017-10-06 16:40:11","1675"
"A3JA4ZFQ2VLY7H","caus_thomas_boxes_v3","3OCHAWUVGOLH7FMSTFI6BASGIHFKXM","1","0","0","No","No","Yes","No","123131","484364","2017-10-06 16:40:25","1676"
"A2XIYK3272U6BV","caus_thomas_boxes_v3","3IQ1VMJRYTLLU6V8E8Z31T3262VA9F","0","0","1","Yes","No","Yes","No","53228","104571","2017-10-06 16:40:36","1677"
"A2TFMDDIPNF02W","caus_thomas_boxes_v3","3OLF68YTN92UVGMLHUZVBPPD90UAFB","0","1","0","Yes","Yes","Yes","No","98970","224624","2017-10-06 16:40:40","1678"
"A6ZAKE3FP8YKY","caus_thomas_boxes_v3","340UGXU9DY236MM9NELQTC4T4X8VUU","0","1","1","No","Yes","Yes","No","81827","123992","2017-10-06 16:40:41","1679"
"AUG9SHX7VWH7Z","caus_thomas_boxes_v3","340UGXU9DY236MM9NELQTC4T4XBVUX","0","0","1","Yes","No","Yes","Not sure","21257","52770","2017-10-06 16:40:56","1680"
"A1TT6I6PZ18LKM","caus_thomas_boxes_v3","3R2PKQ87NW9F78X0F5VLNDX5J9CIMV","0","1","1","No","Yes","Yes","No","27009","76369","2017-10-06 16:41:03","1681"
"A17497K07LP4RX","caus_thomas_boxes_v3","3HMVI3QICJT41JQGQ1YQP93QBHEY18","1","1","0","No","Yes","Yes","No","69956","161846","2017-10-06 16:41:47","1682"
"A32S7DRKL0MW0A","caus_thomas_boxes_v3","3AUQQEL7U5UNQ0ATP77645GMO86V0T","0","1","0","No","Yes","Yes","No","55598","172320","2017-10-06 16:41:55","1683"
"A37X1GHLB2HCX7","caus_thomas_boxes_v3","317HQ483I7TLPQI0R6AL0SM5OZHINQ","0","1","0","No","Yes","Yes","No","27935","95102","2017-10-06 16:42:06","1684"
"A8ZOAQ5DHGY16","caus_thomas_boxes_v3","3FFJ6VRIL1PI4UQTQ08NPGQSG6B0I2","0","0","1","No","Yes","Yes","No","132340","196937","2017-10-06 16:42:22","1685"
"A30WRV40L5NFYS","caus_thomas_boxes_v3","3OCHAWUVGOLH7FMSTFI6BASGIHLXK5","0","1","0","Yes","Yes","Not sure","No","37085","99322","2017-10-06 16:42:46","1686"
"ALDQRWYZ8KQ9A","caus_thomas_boxes_v3","3S06PH7KSR5138VPU5BCCOTPTTA1D5","0","1","1","No","Yes","Yes","Yes","58938","164198","2017-10-06 16:42:49","1687"
"A24ZZW0J3MOVYV
","caus_thomas_boxes_v3","3JNQLM5FT4NRQ51DQQ9E0KBZU8ML2I","1","0","0","No","Yes","Yes","Not sure","57488","79973","2017-10-06 16:43:07","1688"
"A30MP4LXV4MIFD","caus_thomas_boxes_v3","3X4MXAO0BGPO5JUX9UVHA30N473RWT","0","0","1","Yes","Yes","Yes","No","69511","146951","2017-10-06 16:43:20","1689"
"A2QVEKGGZT7BFK","caus_thomas_boxes_v3","3JV9LGBJWTFPBKCH2XAVU59UZWZGOG","1","0","1","No","Yes","Yes","No","54299","216135","2017-10-06 16:43:38","1690"
"A31UXXZVI3U4E2","caus_thomas_boxes_v3","3JCG6DTRV3RJ9LJBK67BDO8WKKRQQU","0","1","0","No","Yes","Yes","Not sure","36323","96883","2017-10-06 16:43:39","1691"
"AV15YFBYL71S6","caus_thomas_boxes_v3","31Q0U3WYDPGLMZUF3S8QCWJT7I817D","0","1","0","No","Yes","Yes","No","18425","78619","2017-10-06 16:43:44","1692"
"A1CWJQCFGM8XPV","caus_thomas_boxes_v3","3PJUZCGDJ6H7BI2THAFP52X7GEW89A","0","1","1","No","Yes","Yes","No","56771","139204","2017-10-06 16:44:00","1693"
"A35P8YSNTQ7OTP","caus_thomas_boxes_v3","38F5OAUN5NDWQAFT5HBB4JZ0O73H7R","0","0","1","No","Yes","Yes","Yes","46244","112828","2017-10-06 16:44:09","1694"
"A12VU5YSHGQH2V","caus_thomas_boxes_v3","38SKSKU7R1YV1QFFFTU6N0IGJ4NLIX","0","0","1","No","Yes","Yes","Not sure","32111","107503","2017-10-06 16:44:10","1695"
"A3NGCWKB476G7F","caus_thomas_boxes_v3","3TDXMTX3CBVDI5C8SPO4YH0JT9Y6IA","0","0","1","No","Yes","Yes","No","44122","147305","2017-10-06 16:44:11","1696"
"A1I05YTI67Y3QG","caus_thomas_boxes_v3","36AHBNMV1RDYTE6S6UILQB4Z0EEDYA","0","1","0","No","No","Yes","No","33218","106390","2017-10-06 16:44:18","1697"
"AOBTFLJU2BEPR
","caus_thomas_boxes_v3","3LJ7UR74RHERHJJL6H8H6RCMJHN4N4","0","1","1","No","No","Yes","No","12122","60705","2017-10-06 16:44:24","1698"
"A3UVW94KB9UBAJ","caus_thomas_boxes_v3","3F6HPJW4JD171ZDCU4GG9VSFSFPW2L","0","1","1","No","Yes","Yes","No","5698","35217","2017-10-06 16:44:26","1699"
"A8TIL9U6YHG5","caus_thomas_boxes_v3","3YDGXNSEOZV6ECWH0FJYOUMRUMH489","0","1","0","Yes","Yes","No","Yes","109678","269287","2017-10-06 16:44:34","1700"
"A2FBP73AQACKZ2","caus_thomas_boxes_v3","3JZQSN0I3QBV57ZO3UR57B0G7V8FGT","0","1","1","No","Yes","Yes","No","40973","104927","2017-10-06 16:45:28","1701"
"AFL51TGHCHC71","caus_thomas_boxes_v3","3H8DHMCCW9C399HB2FHUH3PO2ZAKDR","0","1","0","No","Yes","Yes","No","35146","120504","2017-10-06 16:45:36","1702"
"A3674XGKH8UXR4","caus_thomas_boxes_v3","3JNQLM5FT4NRQ51DQQ9E0KBZU8QL2M","0","1","0","No","Yes","Yes","No","34018","178143","2017-10-06 16:45:49","1703"
"A2OZO0I3XX690K","caus_thomas_boxes_v3","3Z2R0DQ0JHFDKZRL94MANPLFLBI2E9","0","1","0","No","Yes","Yes","No","38289","91361","2017-10-06 16:46:07","1704"
"A3O81LHBBI8NPK
","caus_thomas_boxes_v3","3T111IHZ5ERDTNHPGJLPWJSC66IR93","1","1","0","No","Not sure","Not sure","No","17696","85790","2017-10-06 16:46:10","1705"
"AWVSDERCNRHD0
","caus_thomas_boxes_v3","3WRFBPLXRAP6ZN0H633YWMKG5HQ3NH","0","1","0","No","Not sure","Yes","No","67598","240170","2017-10-06 16:46:11","1706"
"A1CC1ESUM2JWJ2","caus_thomas_boxes_v3","3BXQMRHWKZZKGZS09MKZ6GLGD4UUMA","0","1","0","No","Yes","Yes","No","29204","82237","2017-10-06 16:46:33","1707"
"AHZ5YRRIRTLJG","caus_thomas_boxes_v3","3YHH42UU5BGKUVYZB350HWIKXA70LI","0","0","1","No","Yes","Yes","No","78555","179883","2017-10-06 16:46:38","1708"
" AUXFTGFNKHP4Z
","caus_thomas_boxes_v3","3KJYX6QCM9CUS6BFBFHCMAVINHFVJ3","0","1","1","No","Yes","Yes","No","32558","88481","2017-10-06 16:47:12","1709"
"A29RJVVL54THB5","caus_thomas_boxes_v3","3VHP9MDGRNLIOVJJ18VMHKF193JCFJ","0","0","1","No","Yes","Yes","No","24775","114185","2017-10-06 16:47:22","1710"
"AQ9QT3L1WGEPO","caus_thomas_boxes_v3","3BWI6RSP7GAK60ORFG35JG2NWRDE7A","0","1","0","No","Yes","Yes","No","27155","73693","2017-10-06 16:47:59","1711"
"A19E486BK4N9KR","caus_thomas_boxes_v3","34S6N1K2ZVKV5V4V9BCLNOH1JRALH6","0","1","1","No","Yes","Yes","No","41927","114943","2017-10-06 16:48:13","1712"
"A2Z4VFK7LN3XUI","caus_thomas_boxes_v3","3PJ71Z61R43P0II8IP6AQSAZ28S19L","0","0","1","No","Yes","Yes","No","31136","86089","2017-10-06 16:48:45","1713"
"A1N4P4XGQM7NXE","caus_thomas_boxes_v3","34T446B1C0FRRR4TYQC1EDSX31NC08","0","1","0","Not sure","Not sure","Not sure","Yes","1023696","1053418","2017-10-06 16:49:07","1714"
"A1W16H497VK9Z2","caus_thomas_boxes_v3","3VJ40NV2QIOTGPYNMX92TOOJPQAOT0","0","1","0","No","Yes","Yes","Yes","46595","123054","2017-10-06 16:49:09","1715"
"ADG57UVEOGJ4N","caus_thomas_boxes_v3","3WS1NTTKEYDYU3O3PS22MJD00EMF0T","0","0","1","No","No","Yes","No","39436","91473","2017-10-06 16:49:19","1716"
"A2EABC3X5VMZ95","caus_thomas_boxes_v3","33CUSNVVNND7XDJJCI9B562WW8D88K","0","0","0","No","Yes","Yes","No","86265","224574","2017-10-06 16:49:30","1717"
"A31BO9NWS3PW78","caus_thomas_boxes_v3","3WQQ9FUS6AVQZBHQFUTLW8SX4E68BR","0","1","1","No","Yes","Yes","No","123718","211445","2017-10-06 16:49:34","1718"
"A3J85WP15JFYW0","caus_thomas_boxes_v3","3TDXMTX3CBVDI5C8SPO4YH0JT9ZI6N","1","1","1","No","Yes","Yes","No","11877","57702","2017-10-06 16:49:44","1719"
